sector_id,name,namespace,datasource_id,created,last_updated
OC_SECTOR_1,Construction,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_2,Intermodal transport & logistics,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_3,Specialized professional services,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_4,Food & beverage processing,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_5,Electrical & electronic equipment,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_6,Tobacco,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_7,Land & Property ownership & development,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_8,Energy utility networks,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_9,Oil & gas processing,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_10,Chemicals,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_11,IT & software development,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_12,Transportation equipment,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_13,Renewable power generation,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_14,Non-energy utilities,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_15,Textiles & fabric goods,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_16,Biotech & pharma,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_17,"Trading, wholesale, distribution, rental & leasing",NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_18,"Media, telecommunications & data center services",NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_19,Convenience retail,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_20,Wood & paper materials,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_21,Discretionary retail,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_22,Marine transport,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_23,Thermal power generation,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_24,Metal products manufacturing,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_25,Print & publishing services,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_26,Medical equipment & supplies,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_27,"Bars, hotels & restaurants",NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_28,Other materials,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_29,Financial services,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_30,Web & marketing services,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_31,Powered machinery,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_32,Oil & gas extraction & production,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_33,Air transport,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_34,Metallic mineral mining,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_35,Light manufacturing,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_36,Commercial & consumer services,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_37,Paper products & packaging,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_38,Coal mining,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_39,Leisure & home manufacturing,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_40,Other services,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_41,Nuclear power generation,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_42,Entertainment facilities,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_43,"Metal smelting, refining & forming",NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
OC_SECTOR_44,Fish & animal farming,NULL,OC_DATASOURCE_5,2022-10-11,2022-10-11
